Unnamed: 0,Job_Role,Android,Angular,AWS,Azure,Blockchain,Bootstrap,C#,C++,Confluence,CSS,CSS3,Data Science,DigitalOcean,Django,Docker,Ethereum,Git,Google Cloud Platform,GraphQL,Heroku,HTML,HTML5,iOS,Java,JavaScript,Jira,Kubernetes,LESS,Machine Learning,MERN Stack,MongoDB,Node.js,PHP,Python,PyTorch,React,RESTful API,Ruby,R,Sass,Solidity,Spring Framework,SQL,Swift,TensorFlow,TypeScript,Unity,Vue.js
0,Backend Engineer,2,3,3,3,3,2,2,0,3,3,0,3,3,3,3,2,3,3,0,3,3,3,3,3,0,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,3,0,2,2,2
1,Technical Support Engineer,2,2,3,3,3,3,0,3,3,0,3,2,3,3,0,3,3,3,3,2,3,2,2,2,2,2,0,0,2,3,3,2,2,3,2,2,2,2,3,3,2,2,3,2,2,2,3,3
2,QA Automation Engineer,0,0,2,3,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,2,0,2,3,3,3,0,2,3,2,2,3,3,2,2,3,2,0,2,3,2,2,3
3,QA Automation Engineer,0,0,3,3,2,3,3,3,2,3,2,2,3,2,3,2,3,3,2,2,2,2,3,3,3,2,0,2,3,3,2,0,2,3,3,3,3,3,3,3,3,2,0,3,3,3,3,3
4,IT Support Specialist,3,3,2,3,0,3,3,2,2,0,3,2,2,2,3,2,3,2,0,3,2,3,2,0,2,2,3,3,3,0,3,3,3,2,2,2,3,2,2,3,2,2,2,2,3,2,2,2
5,Data Modeler,2,2,3,3,3,3,2,2,2,3,0,3,3,2,3,2,3,3,3,0,2,0,2,2,3,2,2,2,3,0,3,2,3,0,3,2,3,3,2,3,2,2,3,2,2,2,2,3
6,Network Administrator,0,0,0,2,3,2,2,3,2,3,3,3,2,3,2,3,3,3,3,3,3,2,3,2,3,3,2,2,2,2,0,2,3,2,3,2,2,3,3,2,3,2,2,3,3,0,3,2
7,UI Architect,3,3,3,2,3,2,3,2,3,3,2,3,0,3,2,0,3,0,3,3,3,2,3,3,3,0,3,3,2,3,2,0,3,2,3,3,3,2,3,2,3,2,3,2,3,2,3,3
8,QA Automation Engineer,0,0,3,3,3,2,3,3,3,2,3,2,2,3,3,3,3,2,3,2,2,3,2,2,2,3,0,3,3,3,3,0,3,3,3,3,3,3,2,3,3,2,0,2,3,3,2,3
9,Data Scientist,2,3,2,3,0,3,2,2,3,3,3,2,0,3,2,3,3,0,3,3,2,3,0,3,3,2,3,3,3,2,2,3,3,3,3,3,2,2,3,2,3,3,3,0,3,3,2,3
10,UI Developer,2,3,2,3,3,2,3,2,2,3,3,2,3,2,3,0,3,0,3,3,3,0,3,2,3,0,3,3,0,2,3,2,3,2,2,3,2,2,3,3,3,3,3,3,3,2,2,2
11,UI Architect,3,3,2,2,3,2,2,3,3,3,3,3,0,2,3,0,3,0,2,3,3,2,2,3,3,0,2,3,3,3,2,0,2,3,3,3,3,3,2,3,2,2,3,3,3,3,2,3
12,DevOps Engineer,3,0,3,0,2,2,3,2,2,3,0,3,0,2,3,0,3,3,2,2,2,3,2,3,2,2,3,2,2,2,2,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,2,3
13,AI Engineer,3,2,0,2,2,2,3,2,2,3,2,2,2,3,2,0,3,3,3,2,2,3,3,3,2,2,3,0,3,2,3,3,3,3,3,3,3,3,3,3,3,0,3,2,3,3,0,2
14,Product Manager,3,3,2,2,2,3,3,0,3,3,0,2,2,3,3,2,3,2,2,2,3,3,3,2,3,3,2,2,2,3,0,3,3,3,3,3,2,2,2,2,2,3,0,2,0,2,2,3
15,ETL Developer,2,3,2,0,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,0,0,2,3,2,3,0,2,2,2,3,3,2,2,2,3,0,2,2,2,3,2,3,3,3,2,2,3,2
16,Solutions Architect,2,0,3,3,3,0,2,2,3,3,0,3,3,3,2,3,3,0,2,2,3,3,2,2,2,2,3,3,2,3,3,2,2,2,2,3,3,2,0,3,2,3,3,3,2,2,3,2
17,Frontend Development Lead,3,3,2,2,0,2,0,2,3,3,3,0,2,3,2,2,3,2,2,2,3,2,2,2,3,2,2,0,3,3,3,3,3,3,0,3,3,3,3,3,2,2,3,2,3,3,2,2
